(NADA[1]).ET	(NAMPT[0]).ET	(NAMPT[1]).ET	(NNMT[0]).ET	Values[Km NamPRT]	(SIRT[0]).Flux	(SIRT[1]).Flux	[NAD{Host}]	[NAD{Pathogen}]	Values[Nam transporter].InitialValue	Values[cell devision all].InitialValue	(Nam uptake).v	Values[scaling]	Compartments[Host].InitialVolume	Compartments[Pathogen].InitialVolume
100	100	0	10	1.58489e-06	7.07044e-07	3.64708e-07	0.00342444	0.00167087	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	1.7378e-06	7.01934e-07	3.64792e-07	0.00339679	0.00167128	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	1.90546e-06	6.96469e-07	3.64881e-07	0.00336728	0.00167171	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	2.0893e-06	6.90634e-07	3.64976e-07	0.00333582	0.00167217	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	2.29087e-06	6.84417e-07	3.65078e-07	0.00330238	0.00167267	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	2.51189e-06	6.77805e-07	3.65186e-07	0.00326688	0.00167319	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	2.75423e-06	6.70788e-07	3.653e-07	0.00322929	0.00167374	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	3.01995e-06	6.63356e-07	3.6542e-07	0.00318958	0.00167432	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	3.31131e-06	6.55502e-07	3.65547e-07	0.00314772	0.00167494	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	3.63078e-06	6.4722e-07	3.6568e-07	0.00310369	0.00167559	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	3.98107e-06	6.38508e-07	3.6582e-07	0.00305751	0.00167627	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	4.36516e-06	6.29365e-07	3.65967e-07	0.00300919	0.00167698	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	4.7863e-06	6.19792e-07	3.6612e-07	0.00295875	0.00167772	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	5.24807e-06	6.09795e-07	3.66279e-07	0.00290624	0.00167849	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	5.7544e-06	5.9938e-07	3.66445e-07	0.00285173	0.00167929	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	6.30957e-06	5.88559e-07	3.66616e-07	0.00279528	0.00168013	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	6.91831e-06	5.77342e-07	3.66792e-07	0.00273698	0.00168098	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	7.58578e-06	5.65747e-07	3.66975e-07	0.00267694	0.00168187	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	8.31764e-06	5.53791e-07	3.67162e-07	0.00261527	0.00168277	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	9.12011e-06	5.41495e-07	3.67353e-07	0.00255209	0.0016837	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	1e-05	5.28881e-07	3.67549e-07	0.00248754	0.00168465	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	1.09648e-05	5.15975e-07	3.67748e-07	0.00242177	0.00168562	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	1.20226e-05	5.02804e-07	3.67951e-07	0.00235494	0.00168661	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	1.31826e-05	4.89397e-07	3.68156e-07	0.00228719	0.0016876	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	1.44544e-05	4.75783e-07	3.68364e-07	0.0022187	0.00168861	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	1.58489e-05	4.61994e-07	3.68574e-07	0.00214963	0.00168963	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	1.7378e-05	4.48061e-07	3.68784e-07	0.00208015	0.00169065	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	1.90546e-05	4.34018e-07	3.68996e-07	0.00201044	0.00169168	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	2.0893e-05	4.19896e-07	3.69207e-07	0.00194065	0.00169271	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	2.29087e-05	4.0573e-07	3.69419e-07	0.00187095	0.00169373	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	2.51189e-05	3.91552e-07	3.69629e-07	0.00180151	0.00169475	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	2.75423e-05	3.77393e-07	3.69839e-07	0.00173248	0.00169577	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	3.01995e-05	3.63287e-07	3.70046e-07	0.001664	0.00169678	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	3.31131e-05	3.49262e-07	3.70252e-07	0.00159623	0.00169778	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	3.63078e-05	3.3535e-07	3.70455e-07	0.0015293	0.00169876	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	3.98107e-05	3.21579e-07	3.70655e-07	0.00146333	0.00169974	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	4.36516e-05	3.07975e-07	3.70851e-07	0.00139844	0.00170069	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	4.7863e-05	2.94566e-07	3.71045e-07	0.00133475	0.00170163	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	5.24807e-05	2.81375e-07	3.71234e-07	0.00127235	0.00170255	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	5.7544e-05	2.68424e-07	3.71419e-07	0.00121135	0.00170345	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	6.30957e-05	2.55735e-07	3.71599e-07	0.00115181	0.00170433	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	6.91831e-05	2.43328e-07	3.71775e-07	0.00109382	0.00170518	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	7.58578e-05	2.31219e-07	3.71946e-07	0.00103744	0.00170601	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	8.31764e-05	2.19424e-07	3.72112e-07	0.00098273	0.00170682	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	9.12011e-05	2.07959e-07	3.72273e-07	0.000929732	0.0017076	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	0.0001	1.96834e-07	3.72428e-07	0.000878489	0.00170835	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	0.000109648	1.8606e-07	3.72578e-07	0.000829031	0.00170908	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	0.000120226	1.75646e-07	3.72722e-07	0.00078138	0.00170979	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	0.000131826	1.656e-07	3.72861e-07	0.000735554	0.00171046	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	0.000144544	1.55926e-07	3.72995e-07	0.00069156	0.00171111	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	0.000158489	1.46628e-07	3.73123e-07	0.0006494	0.00171173	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	0.00017378	1.37709e-07	3.73245e-07	0.000609067	0.00171233	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	0.000190546	1.29168e-07	3.73362e-07	0.00057055	0.00171289	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	0.00020893	1.21006e-07	3.73473e-07	0.000533833	0.00171343	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	0.000229087	1.13219e-07	3.73579e-07	0.00049889	0.00171395	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	0.000251189	1.05805e-07	3.73679e-07	0.000465695	0.00171444	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	0.000275423	9.87578e-08	3.73775e-07	0.000434214	0.0017149	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	0.000301995	9.2072e-08	3.73865e-07	0.000404408	0.00171534	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	0.000331131	8.57404e-08	3.73951e-07	0.000376237	0.00171576	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	0.000363078	7.97547e-08	3.74031e-07	0.000349655	0.00171615	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	0.000398107	7.41061e-08	3.74107e-07	0.000324613	0.00171652	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	0.000436516	6.87846e-08	3.74179e-07	0.000301061	0.00171687	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	0.00047863	6.37797e-08	3.74246e-07	0.000278945	0.00171719	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	0.000524807	5.90804e-08	3.74309e-07	0.000258209	0.0017175	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	0.00057544	5.46751e-08	3.74367e-07	0.000238797	0.00171778	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	0.000630957	5.05519e-08	3.74422e-07	0.000220652	0.00171805	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	0.000691831	4.66985e-08	3.74474e-07	0.000203714	0.0017183	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	0.000758578	4.31025e-08	3.74522e-07	0.000187926	0.00171854	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	0.000831764	3.97516e-08	3.74566e-07	0.000173229	0.00171875	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	0.000912011	3.66332e-08	3.74608e-07	0.000159565	0.00171895	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	0.001	3.37351e-08	3.74646e-07	0.000146877	0.00171914	100	2.8e-05	1e-05	0.001	0.001	0.001
