(NADA[1]).ET	(NAMPT[0]).ET	(NAMPT[1]).ET	(NNMT[0]).ET	(SIRT[0]).Flux	(SIRT[1]).Flux	[NAD{Host}]	[NAD{Pathogen}]	Values[Nam transporter].InitialValue	Values[cell devision all].InitialValue	(Nam uptake).v
100	100	0	10	6.17669e-07	3.74409e-08	0.00294764	0.00171799	100	7.49615e-06	0.0001
100	100	0	10	6.17633e-07	3.74291e-08	0.00294745	0.00171741	100	7.85229e-06	0.0001
100	100	0	10	6.17594e-07	3.74168e-08	0.00294725	0.00171682	100	8.22535e-06	0.0001
100	100	0	10	6.17554e-07	3.74039e-08	0.00294704	0.00171619	100	8.61613e-06	0.0001
100	100	0	10	6.17512e-07	3.73904e-08	0.00294681	0.00171553	100	9.02548e-06	0.0001
100	100	0	10	6.17468e-07	3.73763e-08	0.00294658	0.00171485	100	9.45427e-06	0.0001
100	100	0	10	6.17422e-07	3.73615e-08	0.00294634	0.00171413	100	9.90344e-06	0.0001
100	100	0	10	6.17373e-07	3.7346e-08	0.00294608	0.00171337	100	1.03739e-05	0.0001
100	100	0	10	6.17323e-07	3.73298e-08	0.00294581	0.00171258	100	1.08668e-05	0.0001
100	100	0	10	6.17269e-07	3.73128e-08	0.00294553	0.00171176	100	1.13831e-05	0.0001
100	100	0	10	6.17214e-07	3.7295e-08	0.00294524	0.00171089	100	1.19239e-05	0.0001
100	100	0	10	6.17155e-07	3.72763e-08	0.00294493	0.00170998	100	1.24904e-05	0.0001
100	100	0	10	6.17094e-07	3.72568e-08	0.00294461	0.00170903	100	1.30838e-05	0.0001
100	100	0	10	6.1703e-07	3.72363e-08	0.00294427	0.00170804	100	1.37054e-05	0.0001
100	100	0	10	6.16962e-07	3.72149e-08	0.00294391	0.001707	100	1.43565e-05	0.0001
100	100	0	10	6.16892e-07	3.71925e-08	0.00294354	0.00170591	100	1.50386e-05	0.0001
100	100	0	10	6.16818e-07	3.7169e-08	0.00294315	0.00170477	100	1.57531e-05	0.0001
100	100	0	10	6.1674e-07	3.71444e-08	0.00294274	0.00170357	100	1.65015e-05	0.0001
100	100	0	10	6.16659e-07	3.71186e-08	0.00294231	0.00170232	100	1.72855e-05	0.0001
100	100	0	10	6.16574e-07	3.70917e-08	0.00294186	0.00170101	100	1.81067e-05	0.0001
100	100	0	10	6.16485e-07	3.70634e-08	0.00294139	0.00169964	100	1.89669e-05	0.0001
100	100	0	10	6.16391e-07	3.70338e-08	0.0029409	0.0016982	100	1.98681e-05	0.0001
100	100	0	10	6.16293e-07	3.70029e-08	0.00294038	0.00169669	100	2.0812e-05	0.0001
100	100	0	10	6.16191e-07	3.69704e-08	0.00293984	0.00169512	100	2.18007e-05	0.0001
100	100	0	10	6.16083e-07	3.69365e-08	0.00293927	0.00169347	100	2.28365e-05	0.0001
100	100	0	10	6.1597e-07	3.69009e-08	0.00293867	0.00169174	100	2.39214e-05	0.0001
100	100	0	10	6.15852e-07	3.68637e-08	0.00293805	0.00168994	100	2.50579e-05	0.0001
100	100	0	10	6.15727e-07	3.68247e-08	0.00293739	0.00168804	100	2.62484e-05	0.0001
100	100	0	10	6.15597e-07	3.67839e-08	0.00293671	0.00168606	100	2.74955e-05	0.0001
100	100	0	10	6.15461e-07	3.67412e-08	0.00293599	0.00168399	100	2.88017e-05	0.0001
100	100	0	10	6.15318e-07	3.66965e-08	0.00293523	0.00168182	100	3.01701e-05	0.0001
100	100	0	10	6.15168e-07	3.66496e-08	0.00293444	0.00167955	100	3.16035e-05	0.0001
100	100	0	10	6.1501e-07	3.66006e-08	0.00293361	0.00167717	100	3.31049e-05	0.0001
100	100	0	10	6.14845e-07	3.65493e-08	0.00293274	0.00167468	100	3.46777e-05	0.0001
100	100	0	10	6.14672e-07	3.64956e-08	0.00293183	0.00167207	100	3.63252e-05	0.0001
100	100	0	10	6.1449e-07	3.64393e-08	0.00293087	0.00166935	100	3.8051e-05	0.0001
100	100	0	10	6.143e-07	3.63805e-08	0.00292986	0.00166649	100	3.98588e-05	0.0001
100	100	0	10	6.141e-07	3.63189e-08	0.00292881	0.00166351	100	4.17525e-05	0.0001
100	100	0	10	6.1389e-07	3.62544e-08	0.00292771	0.00166038	100	4.37361e-05	0.0001
100	100	0	10	6.1367e-07	3.61869e-08	0.00292655	0.00165711	100	4.5814e-05	0.0001
100	100	0	10	6.13439e-07	3.61163e-08	0.00292533	0.00165369	100	4.79906e-05	0.0001
100	100	0	10	6.13197e-07	3.60424e-08	0.00292405	0.00165011	100	5.02706e-05	0.0001
100	100	0	10	6.12943e-07	3.5965e-08	0.00292271	0.00164636	100	5.26589e-05	0.0001
100	100	0	10	6.12676e-07	3.58841e-08	0.00292131	0.00164245	100	5.51607e-05	0.0001
100	100	0	10	6.12396e-07	3.57994e-08	0.00291983	0.00163835	100	5.77814e-05	0.0001
100	100	0	10	6.12102e-07	3.57108e-08	0.00291828	0.00163406	100	6.05266e-05	0.0001
100	100	0	10	6.11794e-07	3.56181e-08	0.00291666	0.00162958	100	6.34021e-05	0.0001
100	100	0	10	6.1147e-07	3.55211e-08	0.00291495	0.00162489	100	6.64143e-05	0.0001
100	100	0	10	6.1113e-07	3.54196e-08	0.00291316	0.00161998	100	6.95696e-05	0.0001
100	100	0	10	6.10772e-07	3.53135e-08	0.00291128	0.00161485	100	7.28749e-05	0.0001
100	100	0	10	6.10397e-07	3.52025e-08	0.0029093	0.00160949	100	7.63371e-05	0.0001
100	100	0	10	6.10003e-07	3.50864e-08	0.00290723	0.00160389	100	7.99638e-05	0.0001
100	100	0	10	6.09589e-07	3.4965e-08	0.00290505	0.00159803	100	8.37629e-05	0.0001
100	100	0	10	6.09154e-07	3.4838e-08	0.00290276	0.0015919	100	8.77424e-05	0.0001
100	100	0	10	6.08697e-07	3.47053e-08	0.00290035	0.0015855	100	9.1911e-05	0.0001
100	100	0	10	6.08216e-07	3.45665e-08	0.00289782	0.00157881	100	9.62776e-05	0.0001
100	100	0	10	6.07711e-07	3.44214e-08	0.00289517	0.00157182	100	0.000100852	0.0001
100	100	0	10	6.0718e-07	3.42697e-08	0.00289237	0.00156451	100	0.000105643	0.0001
100	100	0	10	6.06621e-07	3.41112e-08	0.00288944	0.00155688	100	0.000110662	0.0001
100	100	0	10	6.06034e-07	3.39456e-08	0.00288635	0.00154891	100	0.00011592	0.0001
100	100	0	10	6.05416e-07	3.37725e-08	0.0028831	0.00154059	100	0.000121427	0.0001
100	100	0	10	6.04767e-07	3.35917e-08	0.00287969	0.0015319	100	0.000127196	0.0001
100	100	0	10	6.04083e-07	3.34028e-08	0.0028761	0.00152283	100	0.000133239	0.0001
100	100	0	10	6.03363e-07	3.32056e-08	0.00287231	0.00151336	100	0.000139569	0.0001
100	100	0	10	6.02605e-07	3.29996e-08	0.00286834	0.00150348	100	0.0001462	0.0001
100	100	0	10	6.01807e-07	3.27845e-08	0.00286415	0.00149316	100	0.000153146	0.0001
100	100	0	10	6.00966e-07	3.256e-08	0.00285974	0.00148241	100	0.000160422	0.0001
100	100	0	10	6.00081e-07	3.23257e-08	0.00285509	0.00147119	100	0.000168043	0.0001
100	100	0	10	5.99148e-07	3.20813e-08	0.0028502	0.0014595	100	0.000176027	0.0001
100	100	0	10	5.98164e-07	3.18262e-08	0.00284505	0.00144731	100	0.00018439	0.0001
100	100	0	10	5.97127e-07	3.15603e-08	0.00283961	0.00143461	100	0.00019315	0.0001
100	100	0	10	5.96034e-07	3.1283e-08	0.00283388	0.00142138	100	0.000202326	0.0001
100	100	0	10	5.9488e-07	3.09939e-08	0.00282784	0.0014076	100	0.000211939	0.0001
100	100	0	10	5.93662e-07	3.06927e-08	0.00282147	0.00139325	100	0.000222008	0.0001
100	100	0	10	5.92377e-07	3.0379e-08	0.00281475	0.00137832	100	0.000232555	0.0001
100	100	0	10	5.9102e-07	3.00523e-08	0.00280765	0.00136279	100	0.000243604	0.0001
100	100	0	10	5.89586e-07	2.97122e-08	0.00280016	0.00134664	100	0.000255177	0.0001
100	100	0	10	5.88071e-07	2.93584e-08	0.00279225	0.00132986	100	0.000267301	0.0001
100	100	0	10	5.8647e-07	2.89903e-08	0.00278389	0.00131242	100	0.00028	0.0001
